adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,12,14,16,18,27,28,35,53,80,878,10751,10770
False,/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",3993.212,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,2024-12-19,Sonic the Hedgehog 3,False,7.771,1659,0,0,0,0,0,1,1,0,0,1,1,0
False,/rVlwDjh8Fw8m6HVJR7KRWmRdPZl.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",3629.863,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,2024-11-21,Moana 2,False,7.2,1386,1,0,1,0,0,0,1,0,0,0,1,0
False,/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,"[28, 12, 53]",539972,en,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2406.152,/nrlfJoxP1EkBVE9pU62L287Jl4D.jpg,2024-12-11,Kraven the Hunter,False,6.6,1143,1,0,0,0,0,1,0,1,0,0,0,0
False,/u7AZ5CdT2af8buRjmYCPXNyJssd.jpg,"[28, 35]",1160956,zh,熊猫计划,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",2258.576,/xVS9XiO9upp2SnWx6KpBYb79hLR.jpg,2024-10-01,Panda Plan,False,6.545,44,0,0,0,0,0,1,1,0,0,0,0,0
False,/eHu1ZxFPmqyhnait9VdsOQBEFOk.jpg,"[27, 53]",710295,en,Wolf Man,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",1657.762,/jTPBMPTgk9zOUGSkWcoOGbX8cTi.jpg,2025-01-15,Wolf Man,False,6.381,277,0,0,0,0,1,0,0,1,0,0,0,0
False,/xZm5YUNY3PlYD1Q4k7X8zd2V4AK.jpg,"[28, 35]",993710,en,Back in Action,"Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",1639.105,/3L3l6LsiLGHkTG4RFB2aBA6BttB.jpg,2025-01-15,Back in Action,False,6.605,873,0,0,0,0,0,1,1,0,0,0,0,0
False,/qSOMdbZ6AOdHR999HWwVAh6ALFI.jpg,"[28, 80, 53]",1249289,en,Alarum,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",1325.673,/v313aUGmMNj6yNveaiQXysBmjVS.jpg,2025-01-16,Alarum,False,5.8,144,0,0,0,0,0,1,0,1,1,0,0,0
False,/ybSA7fUbYHw8VeRiSJ7tgKJnYWZ.jpg,"[28, 53]",1410082,en,Sniper: The Last Stand,"To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.",1236.321,/TVvIyCsFCmLk9MRLbAZi4X8f32.jpg,2025-01-21,Sniper: The Last Stand,False,6.6,74,0,0,0,0,0,1,0,1,0,0,0,0
False,/vZG7PrX9HmdgL5qfZRjhJsFYEIA.jpg,"[28, 878, 12]",912649,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",1096.148,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-22,Venom: The Last Dance,False,6.773,2753,1,0,0,0,0,1,0,0,0,1,0,0
False,/lWMa1FdgC7zP9ATVg6dgpZ3rxhe.jpg,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",1075.244,/jbOSUAWMGzGL1L4EaUF8K6zYFo7.jpg,2024-12-18,Mufasa: The Lion King,False,7.4,984,1,0,1,0,0,0,0,0,0,0,1,0
